0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.09,S,S,S,S,S,S,V,S,S,S,S,S,S,S,S,S,S,S,S,S
0.11,S,S,V,S,S,S,V,S,S,S,S,S,S,S,S,S,S,S,S,S
0.01,S,S,V,S,S,S,V,S,S,S,V,S,S,S,S,S,S,S,S,S
0.14,S,S,V,S,S,S,V,S,S,S,V,S,S,S,S,S,S,S,I,S
0.03,S,S,V,S,S,S,V,S,S,S,V,S,S,S,S,S,S,S,D,S
0.04,S,S,V,S,S,S,V,S,S,S,V,S,S,S,S,S,V,S,D,S
0.07,S,S,V,S,S,V,V,S,S,S,V,S,S,S,S,S,V,S,D,S
0.04,S,S,V,S,S,V,V,V,S,S,V,S,S,S,S,S,V,S,D,S
0.01,S,S,V,S,S,V,V,V,S,S,V,S,S,V,S,S,V,S,D,S
0.20,V,S,V,S,S,V,V,V,S,S,V,S,S,V,S,S,V,S,D,S
0.04,V,S,V,S,I,V,V,V,S,S,V,S,S,V,S,S,V,S,D,S
0.04,V,S,V,S,D,V,V,V,S,S,V,S,S,V,S,S,V,S,D,S
0.66,V,S,V,S,D,V,V,V,S,S,V,S,S,V,S,I,V,S,D,S
0.00,V,S,V,S,D,V,V,V,S,S,V,S,S,V,S,D,V,S,D,S
0.40,V,S,V,I,D,V,V,V,S,S,V,S,S,V,S,D,V,S,D,S
0.02,V,S,V,D,D,V,V,V,S,S,V,S,S,V,S,D,V,S,D,S
0.03,V,S,V,D,D,V,V,V,V,S,V,S,S,V,S,D,V,S,D,S
0.12,V,S,V,D,D,V,V,V,V,S,V,S,S,V,S,D,V,V,D,S
0.50,V,S,V,D,D,V,V,V,V,S,V,I,S,V,S,D,V,V,D,S
0.03,V,S,V,D,D,V,V,V,V,S,V,D,S,V,S,D,V,V,D,S
0.03,V,S,V,D,D,V,V,V,V,S,V,D,I,V,S,D,V,V,D,S
0.05,V,S,V,D,D,V,V,V,V,S,V,D,D,V,S,D,V,V,D,S
0.01,V,V,V,D,D,V,V,V,V,S,V,D,D,V,S,D,V,V,D,S
0.06,V,V,V,D,D,V,V,V,V,S,V,D,D,V,I,D,V,V,D,S
0.04,V,V,V,D,D,V,V,V,V,S,V,D,D,V,D,D,V,V,D,S
0.35,V,V,V,D,D,V,V,V,V,V,V,D,D,V,D,D,V,V,D,S
0.31,V,V,V,D,D,V,V,V,V,V,V,D,D,V,D,D,V,V,D,I
0.15,V,V,V,D,D,V,V,V,V,V,V,D,D,V,D,D,V,V,D,D
